classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
org::eclipse::mylyn::internal::sandbox::dev::InterestDecrementAction ,0,2,0,0,1,0,0,4,6,2,17,0,0,0,1,2,2,0,0,0,0,0,0
upload::UsageAnalysis ,11,1,0,11,45,0,13,0,307,10,9,0,3,8,7,129,34,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::TaskActivityUtil ,28,1,26,4,435,0,2,0,194,30,9,2,1,0,27,106,39,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::TaskContextAction ,3,1,0,3,1,2,1,0,21,2,0,0,0,0,1,9,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::resources::ui::ResourceChangeMonitor ,10,1,3,8,21,0,2,0,70,7,9,2,0,0,7,28,20,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::markup::Block ,44,2,42,2,21,37,1,4,15,7,36,1,0,0,6,11,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::ui::hyperlinks::DefaultResourceHyperlink ,2,1,1,1,15,0,2,0,40,6,9,2,1,0,5,12,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::Messages ,0,1,0,0,0,0,6,0,2,1,0,1,1,5,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::FilterDefinitionConverter ,40,1,5,35,105,0,29,0,461,15,9,29,11,0,4,259,108,1,1,0,0,1,1
org::eclipse::mylyn::internal::team::ui::ContextActiveChangeSetManager ,20,3,1,19,91,0,7,1,199,14,21,7,3,0,9,97,42,1,1,0,0,0,1
org::eclipse::mylyn::internal::trac::core::model::TracSeverity ,3,2,3,0,0,0,1,0,3,1,23,1,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::ui::TracHyperlinkDetector ,4,2,0,4,1,0,0,0,9,2,4,0,0,0,1,6,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::views::ContextNodeOpenListener ,10,1,4,6,21,0,1,0,39,7,9,1,1,0,6,21,10,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::service::XPlannerService ,3,2,3,0,3,2,0,0,10,3,55,0,0,0,3,3,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::AbstractChangeCompletionAction ,3,1,0,3,1,0,0,0,32,2,0,0,0,0,0,7,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ccvs::Messages ,0,1,0,0,0,0,4,0,3,1,0,1,0,3,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorNewCommentPart ,4,3,0,4,1,1,0,1,9,2,31,0,0,0,2,11,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::BugzillaRepositoryConnector ,47,2,17,32,406,0,11,0,417,29,36,8,3,0,26,230,85,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTextViewer ,0,1,0,0,21,0,2,0,31,7,0,2,0,0,6,14,11,1,1,0,0,0,1
org::eclipse::mylyn::internal::context::ui::actions::InterestIncrementAction ,0,2,0,0,0,0,0,4,3,1,17,0,0,0,0,1,1,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::editors::LayoutHint ,1,1,1,0,1,0,3,0,17,2,9,0,0,2,2,2,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::Messages ,3,1,2,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1,0,0,0,0,1
org::eclipse::mylyn::internal::bugs::java::AbstractHyperlinkDetector ,1,1,1,0,3,1,1,0,6,3,9,1,0,0,3,3,2,0,0,0,0,0,0
org::xplanner::soap::XPlanner::XPlannerSoapBindingStub ,1,2,0,1,946,0,5,0,1831,44,46,4,5,1,38,398,136,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::commands::AttachContextHandler ,1,2,0,1,0,0,0,1,13,1,2,0,0,0,0,8,4,1,1,0,0,0,1
org::eclipse::mylyn::internal::trac::core::util::TracXmlRpcClientRequest ,2,1,2,0,1,0,1,0,7,2,0,1,0,0,2,2,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimpleWrappedPhraseModifier ,5,2,2,4,21,1,5,0,44,7,22,4,1,0,1,18,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::usage::UsageStatisticsSummary ,6,1,6,0,10,0,2,0,12,5,9,2,0,0,5,6,4,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::progress::ProgressEvent ,2,1,2,0,3,0,2,0,10,3,9,0,0,2,3,3,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::sync::SubmitTaskJob ,15,3,1,14,10,0,8,0,61,5,10,8,1,0,3,33,8,1,0,0,0,0,1
org::eclipse::mylyn::wikitext::core::parser::builder::HtmlDocumentBuilder ,34,3,9,25,1770,2,16,4,611,60,36,16,11,0,42,369,175,1,0,0,0,0,1
org::eclipse::mylyn::internal::wikitext::twiki::core::block::HeadingBlock ,10,3,1,9,3,0,2,4,32,3,43,2,0,0,3,20,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::notifications::Messages ,0,1,0,0,0,0,8,0,3,1,0,1,0,7,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssReader ,8,1,1,7,1,0,2,0,16,2,9,2,0,0,2,12,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::examples::jira::JiraClientExample ,10,1,0,10,0,0,1,0,32,1,9,1,0,0,1,25,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::DisconnectRepositoryAction ,7,1,1,6,3,0,3,0,28,3,0,2,0,0,3,15,6,1,1,0,0,0,1
org::eclipse::mylyn::internal::tasks::ui::actions::SearchForRepositoryTask ,0,1,0,0,6,0,0,0,9,4,0,0,0,0,4,7,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotifier ,13,1,2,11,15,0,3,0,62,6,12,3,0,0,6,35,15,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::dev::InterestDebuggingDecorator ,7,1,0,7,15,0,0,0,44,6,9,0,0,0,6,19,12,0,0,0,0,0,0
org::eclipse::mylyn::monitor::ui::AbstractPartTracker ,7,1,6,1,21,1,0,0,6,7,9,0,0,0,7,11,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteComponent ,1,3,0,1,15,0,3,0,38,6,52,3,0,0,6,10,11,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::core::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetElementAdapter ,2,1,0,2,3,0,0,0,22,3,9,0,1,0,2,9,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracComment ,2,1,2,0,91,0,6,0,41,14,9,6,0,0,14,14,14,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::ui::viewer::MarkupViewerConfiguration ,1,3,1,0,0,1,0,1,3,1,15,0,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::ui::PerspectiveChangeMonitor ,5,1,2,3,21,0,5,0,42,7,0,0,1,0,6,32,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::service::JiraAuthenticationException ,1,2,1,0,0,0,1,0,3,1,26,1,0,0,1,1,2,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::util::anttask::MarkupTask ,17,1,6,11,66,3,5,0,76,12,0,5,0,0,10,37,22,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::algorithms::internal::CycleChecker ,4,1,0,4,1,0,0,0,55,2,9,0,1,0,1,26,12,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorPlanningPart ,17,2,0,17,55,0,8,1,225,11,19,8,7,0,4,99,29,2,1,0,0,0,1
org::eclipse::mylyn::internal::provisional::commons::ui::WorkbenchActionSupport ,2,1,2,1,120,0,8,0,132,16,9,8,0,0,16,36,18,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::RepositoryReportFactory ,4,2,0,4,1,0,1,1,23,2,11,1,0,0,2,15,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::EntityReferenceReplacementToken ,2,2,1,1,6,0,1,0,9,4,22,1,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::net::PollingOutputStream ,3,1,0,3,15,0,4,1,100,6,35,4,1,0,5,23,22,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::JavaUiBridge ,11,2,0,11,28,0,1,0,98,8,16,1,0,0,8,46,22,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::ImagePhraseModifier ,2,2,1,1,6,0,1,0,10,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::help::CheatSheetContent ,4,2,1,3,1,0,1,0,8,2,13,1,0,0,2,5,2,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::wizards::AbstractRepositorySettingsPage ,30,3,11,19,2485,6,56,1,1144,71,15,32,8,0,52,330,147,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::LineBreakToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::viewer::annotation::ImageAnnotation ,4,1,4,0,21,0,4,0,23,7,0,3,0,0,7,8,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::pde::ui::junit::TaskContextPdeJUnitTabGroup ,1,1,0,1,0,0,0,0,9,1,0,0,0,0,1,4,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::HyperlinkReplacementToken ,1,2,0,1,3,0,0,0,9,3,22,0,0,0,0,4,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::util::bugzilla::BugzillaGeneratedCommentBlock ,9,3,1,8,6,0,1,4,20,4,43,1,0,0,3,17,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::tasks::JavaStackTraceHyperlinkDetector ,3,2,0,3,3,0,1,0,20,3,4,1,2,0,0,16,8,0,0,0,0,0,0
org::eclipse::mylyn::zest::layouts::algorithms::RadialLayoutAlgorithm ,8,3,3,5,36,0,6,8,74,9,72,5,1,1,3,38,20,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::OpenTaskSearchAction ,1,1,1,0,6,0,0,0,11,4,0,0,0,0,4,5,4,0,0,0,0,0,0
org::eclipse::mylyn::zest::core::widgets::GraphConnection ,26,2,12,17,703,0,21,4,308,38,10,21,3,0,34,167,74,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracXmlRpcClient ,43,2,5,39,1275,0,20,21,707,51,68,14,22,0,29,344,117,3,2,1,1,1,1
org::eclipse::mylyn::wikitext::core::parser::Attributes ,31,1,31,0,55,8,5,0,36,11,9,5,0,0,11,11,11,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::ui::annotation::AnchorHrefAnnotation ,3,1,3,0,1,0,1,0,6,2,0,0,0,0,2,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::block::LiteralBlock ,6,3,1,6,6,0,4,4,33,4,43,4,0,0,4,20,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::reconciler::MultiReconcilingStrategy ,3,1,1,2,28,0,1,0,39,8,9,1,0,0,8,17,11,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::WorkLogConverter ,3,2,2,1,6,0,14,0,14,4,14,1,1,0,2,9,4,1,1,0,0,0,1
org::eclipse::mylyn::internal::team::ui::actions::Messages ,0,1,0,0,0,0,12,0,3,1,0,1,0,11,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlineNode ,7,1,4,3,435,0,14,0,148,30,9,9,0,0,29,65,41,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteEntity ,2,1,2,0,15,2,3,0,37,6,18,3,0,0,6,8,11,0,0,0,0,0,0
org::eclipse::mylyn::context::tests::support::DomContextReader ,18,1,1,17,10,0,0,0,104,5,10,0,1,0,4,42,14,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::WeekDateRange ,19,2,15,5,105,0,5,1,117,15,23,5,3,0,11,68,29,0,0,0,0,0,0
org::eclipse::mylyn::context::tests::support::FileTool ,15,1,4,11,36,0,2,0,129,9,9,2,1,0,8,51,21,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::net::InfiniteSubProgressMonitor ,2,1,0,2,6,0,5,2,33,4,57,0,0,5,4,8,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteComment ,2,1,0,2,231,0,11,0,125,22,18,11,0,0,22,58,67,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::tasks::ui::util::bugzilla::BugzillaQuoteBlock ,9,3,1,8,6,0,2,4,31,4,43,2,0,0,3,19,10,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::CategorizedPresentation ,1,2,0,1,1,0,1,0,6,2,19,0,0,0,1,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::AbstractNamedRemoteEntity ,14,2,12,2,28,8,4,0,49,8,35,4,0,0,8,17,18,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::AbstractContextLabelProvider ,0,1,0,0,28,5,0,0,15,8,9,0,0,0,4,8,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteConfiguration ,1,1,0,1,325,0,13,0,125,26,18,13,0,0,26,49,49,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::Messages ,0,1,0,0,0,0,2,0,3,1,0,1,0,1,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::markup::token::LineBreakReplacementTokenProcessor ,3,3,1,2,1,0,0,7,3,2,39,0,0,0,2,4,1,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::twiki::core::TWikiLanguage ,28,3,9,21,153,0,5,6,103,18,57,5,1,0,10,56,23,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::model::TracWikiPageInfo ,14,1,14,0,66,0,5,0,35,12,9,5,0,0,12,12,12,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::deprecated::AbstractTaskEditorFactory ,0,1,0,0,15,1,0,0,6,6,9,0,0,0,6,6,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::resources::ui::ResourceUiBridge ,9,2,0,9,36,0,0,0,77,9,16,0,2,0,7,42,24,0,0,0,0,0,0
org::eclipse::mylyn::zest::core::messages::ZestErrorMessages ,1,1,0,1,0,0,5,0,8,1,9,2,0,0,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::context::ui::AbstractContextUiBridge ,11,1,11,0,21,9,0,0,0,7,9,0,0,0,7,7,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::search::SearchResultSortAction ,1,1,1,1,3,0,2,0,11,3,0,2,0,0,3,4,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::ToggleWorkingSetAction ,2,1,1,1,3,0,1,0,50,3,0,1,0,0,3,27,12,0,0,0,0,0,0
org::eclipse::mylyn::zest::core::viewers::GraphViewer ,11,3,5,6,231,0,4,0,131,22,44,2,0,1,17,63,34,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::TaskRepositoryManager ,74,1,62,12,300,0,11,0,274,25,17,6,2,0,21,147,51,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CssWhitespaceDetector ,2,1,2,0,1,0,0,0,3,2,9,0,0,0,2,2,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::ui::highlighters::TaskHighlighterMenuContributor ,4,1,0,4,0,0,1,0,33,1,10,1,0,0,1,17,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::ide::ui::MarkerViewerInterestSorter ,4,1,1,3,1,0,1,0,23,2,0,0,0,0,2,13,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::ContentOutlineManager ,1,1,0,1,10,0,0,0,25,5,9,0,0,0,5,7,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::tasklist::BugzillaTaskHandler ,0,1,0,0,1,0,0,0,40,2,9,0,0,0,2,5,21,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::usage::FileDisplayDialog ,0,1,0,0,3,0,1,0,8,3,0,1,1,0,2,5,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::tasks::core::RepositoryClientManager ,6,1,0,6,91,0,4,0,102,14,13,4,1,0,11,54,22,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::commons::ui::AbstractFilteredTree ,8,1,3,5,105,1,7,0,144,15,0,6,1,0,5,41,16,3,2,1,0,1,1
org::eclipse::mylyn::zest::core::widgets::internal::ExpandGraphLabel ,7,1,1,6,10,0,8,1,58,5,65,6,0,0,4,31,8,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::views::AbstractTaskListPresentation ,4,1,4,0,45,4,5,0,32,10,9,5,0,0,9,13,10,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::commons::core::CommonMessages ,0,1,0,0,0,0,8,0,3,1,0,1,0,7,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::AttributeValueConverter ,4,1,0,4,10,0,2,0,16,5,9,2,0,0,5,12,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::provisional::commons::ui::CommonsUiUtil ,5,1,1,4,6,0,0,0,98,4,9,0,0,0,4,34,10,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::ui::TracConnectorUi ,14,2,0,14,66,0,0,0,63,12,31,0,0,0,12,44,18,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::usage::MonitorFileRolloverJob ,20,1,3,17,66,0,9,0,207,12,0,8,2,0,10,93,37,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSearchQuery ,2,1,0,2,1,0,2,0,43,2,0,2,0,0,2,13,2,0,0,0,0,0,0
org::eclipse::mylyn::tasks::tests::connector::MockRepositoryConnectorUi ,5,2,2,3,21,0,1,0,26,7,31,1,0,0,7,17,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::outline::QuickOutlinePopupDialog ,4,1,3,1,210,0,3,0,132,21,0,3,1,0,18,48,31,3,2,0,0,0,1
org::eclipse::mylyn::internal::trac::ui::editor::TracRenderingEngine ,11,2,2,9,1,0,0,0,39,2,10,0,0,0,2,18,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::commons::net::PollingProtocolSocketFactory ,3,1,1,3,1,0,2,0,15,2,9,2,0,0,2,9,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::block::TableBlock ,8,3,1,7,6,0,4,4,65,4,43,2,0,0,4,32,16,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::TaskRelationHyperlinkDetector ,6,2,2,4,10,0,1,0,64,5,4,1,3,0,1,27,15,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::BooleanAttributeEditor ,3,2,1,2,15,0,2,0,35,6,32,2,0,0,6,21,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::web::ui::WebResourceContentProvider ,4,1,1,3,45,0,3,0,54,10,0,3,0,0,10,24,15,0,0,0,0,0,0
org::xplanner::soap::XPlanner::XPlannerProxy ,1,2,0,1,861,0,2,0,255,42,55,2,1,0,41,123,83,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::actions::AddToTaskContextAction ,6,1,1,5,6,0,1,0,55,4,0,1,1,0,3,27,15,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::filter::StatusFilter ,5,1,5,0,3,0,2,0,12,3,18,2,0,0,2,4,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::InterestDecrementAction ,0,2,0,0,0,0,0,4,3,1,17,0,0,0,0,1,1,2,2,0,0,0,1
org::eclipse::mylyn::internal::tasks::ui::editors::AbstractReplyToCommentAction ,6,1,1,5,6,1,2,0,22,4,0,2,0,0,3,19,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::Group ,0,1,0,0,10,0,3,0,12,5,18,3,0,0,5,5,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::web::tasks::NamedPattern ,7,1,2,5,21,0,2,0,30,7,9,2,1,0,6,26,9,0,0,0,0,0,0
org::eclipse::mylyn::internal::sandbox::ui::actions::OpenRelatedElementsPopupDialogAction ,1,1,0,1,10,0,1,0,19,5,9,1,0,0,5,8,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::util::CopyAttachmentToClipboardJob ,7,1,1,6,3,0,1,0,29,3,0,1,1,0,1,14,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::NewLocalTaskHandler ,2,1,0,2,0,0,0,0,21,1,0,0,0,0,1,11,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::twiki::core::phrase::SimpleWrappedPhraseModifier ,3,2,1,3,15,1,5,0,22,6,22,4,0,0,1,10,6,0,0,0,0,0,0
org::eclipse::mylyn::tasks::ui::editors::AbstractTaskEditorPart ,28,1,22,7,171,15,6,0,88,19,0,5,0,0,12,41,24,1,1,0,0,0,1
org::eclipse::mylyn::internal::jira::core::service::Messages ,0,1,0,0,0,0,3,0,3,1,9,1,0,2,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::TaskEditorScheduleAction ,5,1,1,4,6,0,3,0,20,4,0,3,0,0,4,11,6,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ccvs::CvsContextChangeSet ,12,1,1,11,171,0,4,0,154,19,14,3,2,0,17,78,41,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::core::parser::builder::DitaTopicDocumentBuilder ,16,3,2,14,780,0,9,4,452,40,36,9,11,0,28,203,123,1,0,0,0,0,1
org::eclipse::mylyn::internal::context::ui::ColorMap ,1,1,1,0,6,0,21,0,56,4,9,1,0,0,4,5,12,0,0,0,0,0,0
org::eclipse::mylyn::internal::monitor::usage::wizards::GetNewUserIdPage ,15,1,9,6,136,0,19,0,419,17,0,19,8,0,9,75,42,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracRemoteException ,0,2,0,0,0,1,1,0,3,1,26,1,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::OpenTaskAttachmentInDefaultEditorHandler ,3,1,0,3,1,0,0,0,36,2,0,0,1,0,1,16,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::ui::editor::XPlannerTimeTrackingEditorPart ,6,2,1,5,153,0,10,1,179,18,21,10,8,0,9,69,27,1,1,0,0,0,1
org::eclipse::mylyn::internal::sandbox::ui::actions::FindReferencesInContextAction ,1,1,0,1,6,0,0,0,38,4,0,0,0,0,4,16,12,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::util::anttask::Messages ,5,1,4,1,1,0,2,0,9,2,9,2,1,0,1,3,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::resources::ui::ResourceContextLabelProvider ,2,2,0,2,6,0,0,0,18,4,17,0,0,0,0,8,6,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::markup::PatternBasedElement ,3,1,2,1,6,49,0,0,7,4,18,0,0,0,1,6,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::editor::actions::ToggleFoldingRulerAction ,2,1,0,2,6,0,3,0,20,4,0,3,1,0,2,12,5,1,0,0,0,0,1
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPlanningEditorPart ,9,2,0,9,3,0,2,1,120,3,19,2,1,0,2,66,13,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::ui::actions::Messages ,0,1,0,0,0,0,24,0,3,1,0,1,0,23,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::actions::RestoreTaskListAction ,4,1,1,3,10,0,0,0,27,5,0,0,0,0,5,15,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorNotesPart ,8,2,0,8,10,0,3,1,83,5,19,3,1,0,4,39,18,2,1,0,0,0,1
org::eclipse::mylyn::internal::jira::core::InvalidJiraQueryException ,1,1,1,0,0,0,1,0,3,1,26,1,0,0,1,1,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::java::ui::search::JavaActiveSearchResultUpdater ,2,1,1,1,66,0,2,0,114,12,9,2,6,0,6,56,31,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::core::parser::builder::DefaultSplittingStrategy ,2,2,1,1,36,0,8,0,51,9,12,8,0,0,8,15,18,0,0,0,0,0,0
org::eclipse::mylyn::internal::context::core::AggregateInteractionEvent ,6,2,6,0,3,0,2,1,12,3,28,2,0,0,3,3,3,0,0,0,0,0,0
org::eclipse::mylyn::internal::team::ui::LinkedTaskInfo ,5,2,5,0,21,0,6,0,24,7,13,6,0,0,7,7,7,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::core::BugzillaTaskDataHandler ,26,2,7,21,153,0,2,0,350,18,17,2,2,0,14,169,44,2,1,0,0,2,1
org::eclipse::mylyn::internal::wikitext::textile::core::block::ParagraphBlock ,9,3,1,8,15,0,5,4,74,6,43,4,0,0,6,26,19,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::Messages ,0,1,0,0,0,0,13,0,3,1,0,1,0,12,1,2,1,0,0,0,0,0,0
org::eclipse::mylyn::wikitext::core::parser::markup::phrase::LimitedHtmlEndTagPhraseModifier ,2,2,1,1,6,0,1,0,23,4,22,1,0,0,1,10,5,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::externalization::DelegatingTaskExternalizer ,32,1,1,31,276,0,54,0,569,24,9,6,10,0,14,368,94,1,1,0,0,0,1
org::eclipse::mylyn::wikitext::core::parser::QuoteAttributes ,3,2,3,0,3,0,1,0,6,3,20,1,0,0,3,3,2,0,0,0,0,0,0
org::eclipse::mylyn::tasklist::tests::Job ,2,1,2,0,66,0,6,0,46,12,9,5,0,1,12,12,17,0,0,0,0,0,0
org::eclipse::mylyn::internal::bugzilla::ui::actions::DeleteFavoriteAction ,2,2,2,1,1,0,2,0,27,2,2,2,0,0,2,8,4,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::ui::viewer::FontState ,12,1,10,2,300,0,11,0,118,25,9,0,2,4,23,46,39,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteFieldValue ,5,1,0,5,45,0,5,0,65,10,18,5,0,0,10,27,28,0,0,0,0,0,0
org::eclipse::mylyn::tasks::tests::connector::MockRepositoryConnector ,6,2,5,1,253,0,7,0,73,23,36,5,0,0,23,25,23,2,2,0,0,0,1
org::eclipse::mylyn::bugzilla::deprecated::BugzillaTaskListFactory ,5,2,0,5,21,0,6,3,43,7,16,6,0,0,7,24,12,0,0,0,0,0,0
